shot_distance,shot_angle,under_pressure,shot_first_time,minute,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley
30.369886400841207,12.588634876676888,0,1,49,0,0,1,0,0,0,0,0,1
27.300000000000004,6.570404790874936,0,0,34,1,0,0,0,0,0,1,0,0
6.15873363606513,62.20344066255586,0,0,39,0,0,0,0,0,0,1,0,0
16.07762420259909,21.598247389610933,1,0,69,0,0,1,0,0,0,1,0,0
28.89238654040195,15.612678336919004,1,0,48,0,0,1,0,0,0,1,0,0
21.261467494037195,19.59178807371204,0,0,90,1,0,0,0,0,0,1,0,0
9.193475947648958,37.61705416373458,0,0,3,0,0,0,0,0,0,1,0,0
25.98865136939584,14.61924723608059,1,0,58,0,0,1,0,0,0,1,0,0
12.806248474865695,28.39302005142634,0,1,28,1,0,0,0,1,0,0,0,0
18.98736421939602,22.000698732174648,0,1,38,0,0,1,0,0,0,1,0,0
22.380571931923456,16.540081040388472,0,0,55,0,0,1,0,0,0,1,0,0
14.338758663147932,13.294408545324432,0,0,8,1,0,0,0,0,0,1,0,0
7.655716818169282,52.73275351302353,1,0,28,0,0,0,0,0,0,1,0,0
17.25340546095176,21.963950736550245,0,0,70,0,0,1,0,0,1,0,0,0
12.420144926690677,29.805539730896133,0,1,70,1,0,0,0,0,0,1,0,0
23.740682382779134,15.590463599396132,0,0,69,0,0,1,0,0,0,1,0,0
6.488451279003336,60.21454158647568,0,1,20,0,0,1,0,0,0,1,0,0
27.29468812791236,14.755168508624385,1,0,15,0,0,1,0,0,0,1,0,0
28.0,16.260204953865326,0,0,54,1,0,0,0,0,0,1,0,0
27.87292593180701,11.354816191451915,0,0,43,0,0,1,0,0,0,1,0,0
12.061509026651684,29.615093961365705,0,0,54,1,0,0,0,0,0,1,0,0
26.059930928534712,13.172693214698764,0,0,3,0,0,1,0,0,0,1,0,0
6.942621983083916,52.25875167951956,1,0,18,0,0,0,0,0,0,1,0,0
17.801685313475236,13.600833419150238,0,1,38,1,0,0,0,0,0,0,0,1
22.90720410700529,19.48455920123867,0,0,29,0,0,1,0,0,0,1,0,0
17.311268006705923,17.52866212352816,0,0,24,0,0,1,0,0,0,1,0,0
14.212670403551895,21.161260558942367,1,0,44,0,0,1,0,0,0,1,0,0
11.803812943282349,37.43138646556703,1,0,91,0,0,0,0,0,0,1,0,0
13.087398519186312,27.722030821955887,1,1,39,1,0,0,0,0,0,1,0,0
25.3513313259876,16.83276707621399,0,0,43,1,0,0,0,0,0,1,0,0
23.06252371272493,14.602426372947486,0,0,15,0,0,1,0,0,0,1,0,0
8.006247560499235,49.74104045837313,0,1,45,0,0,1,0,0,0,0,0,1
26.38560213449751,15.512815145461277,0,0,11,0,0,1,0,0,0,0,0,1
10.846658471621572,10.260201547137676,1,0,17,0,0,0,0,0,0,1,0,0
13.000000000000004,28.53694359301406,0,1,51,1,0,0,0,0,0,1,0,0
9.254188241007425,46.5835910775538,1,0,39,0,0,0,0,0,0,1,0,0
13.401492454200758,27.39939735248742,1,0,89,1,0,0,0,0,0,1,0,0
8.490583018850945,45.76094308379372,0,1,35,0,0,1,0,1,0,0,0,0
19.231484602078964,15.660563597809633,0,1,76,0,0,1,0,0,0,1,0,0
25.79341001108616,15.23196981053287,0,0,59,0,0,1,0,0,0,1,0,0
31.439624679693623,14.262683411618124,0,0,75,1,0,0,0,0,0,1,0,0
15.669716015295236,28.37839953524021,0,1,35,1,0,0,0,0,0,0,0,1
23.631546711969577,18.12862540625566,0,0,25,0,0,1,0,0,1,0,0,0
25.44661077629003,17.44051212014442,0,1,26,0,0,1,0,0,0,0,0,1
30.479501308256346,11.394386383427292,0,0,70,0,0,1,0,0,0,1,0,0
28.52805636562014,15.841959712232216,0,0,40,0,0,1,0,0,0,1,0,0
31.87506862737711,12.144597158932738,0,0,56,1,0,0,0,0,0,1,0,0
26.669270706189167,15.804889546687052,0,0,19,1,0,0,0,0,0,1,0,0
28.185989427373308,13.744062440693051,0,0,35,0,0,1,0,0,0,1,0,0
17.334935823359714,25.94141558714333,0,0,83,0,0,1,0,0,0,1,0,0
29.06819567843866,13.040645562470331,1,0,19,0,0,1,0,0,0,1,0,0
38.739772843939086,11.393245750542064,0,0,21,1,0,0,0,0,0,1,0,0
26.85162937328012,14.38354568530318,0,0,87,1,0,0,0,0,0,1,0,0
14.43606594609487,22.17013014671748,1,0,65,0,0,1,0,0,0,1,0,0
14.340502083260546,20.1527248900073,0,1,42,0,0,1,0,0,0,1,0,0
29.13434399467405,11.932893654897848,0,0,54,1,0,0,0,0,0,1,0,0
25.103187048659773,12.91208077852282,0,0,45,0,0,1,0,0,0,1,0,0
33.35101197864916,12.746763520375136,0,0,77,0,0,1,0,0,0,1,0,0
25.904632790294485,16.593663224702954,0,1,27,0,0,1,0,1,0,0,0,0
29.79194522014298,14.61081158032821,1,1,43,0,0,1,0,0,0,0,0,1
13.591541487263322,27.969460176564013,0,1,25,1,0,0,0,1,0,0,0,0
12.156479753612889,35.38521516096696,0,0,0,0,0,0,0,0,0,1,0,0
36.168079849502654,12.463718144447334,0,0,20,0,0,1,0,0,0,1,0,0
11.783462988442746,37.30394876489454,0,0,25,0,0,0,0,0,0,1,0,0
7.2532751223154355,56.82534837164328,0,1,85,1,0,0,0,0,0,0,0,1
12.984991336154216,19.885378006904517,0,1,73,1,0,0,0,0,0,1,0,0
18.580096878111263,15.095073195500012,0,0,47,0,0,1,0,0,0,1,0,0
