id,match_id,competition,season_id,minute,player,team,shot_outcome,shot_type,shot_body_part,shot_technique,shot_statsbomb_xg,under_pressure,shot_first_time,x,y,gol,shot_distance,shot_angle
c828a34e-e0e2-4adb-a70a-de8d6223541c,266274,La Liga,25,15,Lionel Andrés Messi Cuccittini,Barcelona,Saved,Open Play,Left Foot,Normal,0.45848468,0,0,107.2,42.0,0,12.955307792561314,33.99549450056004
b8850479-810f-4349-8815-1573fd19e742,266274,La Liga,25,20,Fabián Ariel Orellana Valenzuela,Celta Vigo,Saved,Free Kick,Right Foot,Normal,0.04899527,0,0,100.6,24.3,0,24.95696295625732,14.345725878933138
4eb1bbe8-a79e-4f31-9328-5e6dbfb6b409,266274,La Liga,25,29,Lionel Andrés Messi Cuccittini,Barcelona,Goal,Open Play,Right Foot,Normal,0.4473116,1,0,113.3,47.7,1,10.206860437960346,31.293225971468658
cd9fbc3b-d8a1-44cd-8eb3-6348cbc088ad,266274,La Liga,25,33,Fabián Ariel Orellana Valenzuela,Celta Vigo,Saved,Open Play,Right Foot,Normal,0.009678596,1,0,107.1,20.3,0,23.547823678633236,10.848822311191856
b7a8cb1a-1d5e-4894-83cc-64ce2b2e12c9,266274,La Liga,25,37,Alexis Alejandro Sánchez Sánchez,Barcelona,Blocked,Open Play,Right Foot,Normal,0.028391473,0,0,103.9,55.3,0,22.2103579439864,15.101631417904544
abd82fd3-85b5-4be0-9cc6-21931e7d84b5,266274,La Liga,25,44,Alexis Alejandro Sánchez Sánchez,Barcelona,Off T,Open Play,Right Foot,Normal,0.03470819,0,0,99.4,52.0,0,23.840302011509834,16.612796364557884
eac15391-5968-41b6-ba12-e0744e0e3a35,266274,La Liga,25,46,Neymar da Silva Santos Junior,Barcelona,Wayward,Open Play,Right Foot,Normal,0.009320508,0,1,103.3,19.4,0,26.518861212352242,11.00097507732673
51b58efa-c364-4292-be5e-1b8d5c7432f2,266274,La Liga,25,51,Augusto Matías Fernández,Celta Vigo,Saved,Open Play,Right Foot,Half Volley,0.3050321,0,1,111.7,38.4,0,8.452810183601661,50.13506879878616
bd56f03e-33f6-4a33-82f8-4166a89e3582,266274,La Liga,25,51,Santiago Mina Lorenzo,Celta Vigo,Saved,Open Play,Left Foot,Volley,0.1066161,0,1,113.2,28.9,0,13.017296186228537,19.520072802594804
c5559f12-6a33-4e3a-ad5e-1721468c3f57,266274,La Liga,25,52,Augusto Matías Fernández,Celta Vigo,Off T,Open Play,Head,Normal,0.13222313,0,0,107.2,33.8,0,14.222517358048819,28.798040844832254
e5eb4b42-c782-4417-af8e-74fb206bfb0c,266274,La Liga,25,66,Neymar da Silva Santos Junior,Barcelona,Goal,Open Play,Left Foot,Normal,0.104000695,1,0,111.5,29.0,1,13.901438774457844,20.98875867877811
73c62b1a-aee0-4678-8698-dc6130983dca,266274,La Liga,25,72,Alexis Alejandro Sánchez Sánchez,Barcelona,Blocked,Open Play,Right Foot,Normal,0.27976397,1,1,103.7,34.9,0,17.07922714879101,25.313113696141343
d5e80c02-93cf-4a89-80c8-52142096084a,266274,La Liga,25,80,Francesc Fàbregas i Soler,Barcelona,Off T,Open Play,Right Foot,Normal,0.01022102,0,0,103.0,20.2,0,26.096743091811284,11.557575185399786
1e36a24c-3507-419b-970c-37a76f747ed1,266274,La Liga,25,81,Jordi Alba Ramos,Barcelona,Off T,Open Play,Right Foot,Normal,0.03243672,1,0,94.7,30.4,0,27.06011825546961,15.779384745727718
bf1da3a0-dbc1-4101-b0ee-d93236267994,266274,La Liga,25,82,Augusto Matías Fernández,Celta Vigo,Off T,Open Play,Left Foot,Normal,0.033764794,0,0,90.6,38.1,0,29.46133058773823,15.433022197346643
7636a5e7-5db5-4c33-afab-5ec362c54884,266274,La Liga,25,82,Jonathan Castro Otto,Celta Vigo,Saved,Open Play,Right Foot,Normal,0.056527812,0,0,108.5,25.6,0,18.42851052038661,15.870071074944233
a244a868-1368-40c5-acd9-27c64c5cc49e,266274,La Liga,25,83,Mario Bermejo Castanedo,Celta Vigo,Saved,Open Play,Head,Normal,0.13545853,0,0,108.6,45.6,0,12.701181047445948,32.11158131194641
ab5ba6e6-789b-4647-8842-b5c9a2c8d6b4,266274,La Liga,25,85,Sergi Roberto Carnicer,Barcelona,Saved,Open Play,Right Foot,Half Volley,0.05328933,0,1,103.5,48.5,0,18.560711193270585,21.891568397723475
259101c3-33c0-45ac-8733-e68f0ae35d15,70293,La Liga,25,3,Francesc Fàbregas i Soler,Barcelona,Blocked,Open Play,Right Foot,Normal,0.028249718,0,0,91.9,48.4,0,29.328654929948623,14.911645327356021
735e3491-ff65-4963-9ebf-bc268db64407,70293,La Liga,25,10,Lionel Andrés Messi Cuccittini,Barcelona,Blocked,Open Play,Left Foot,Normal,0.03464752,1,0,96.0,44.0,0,24.331050121192877,18.434949106023836
476d7864-cebe-4912-99f1-b5d5080cf6a3,70293,La Liga,25,14,Gareth Frank Bale,Real Madrid,Off T,Open Play,Left Foot,Normal,0.031695276,0,1,92.6,30.7,0,28.935272592460578,14.944443589923765
8606516e-c88f-4e03-b4b6-8e43e11002d4,70293,La Liga,25,17,Neymar da Silva Santos Junior,Barcelona,Saved,Open Play,Right Foot,Normal,0.02170255,0,0,101.4,21.9,0,25.9532271596424,12.750588884412714
3ea0405c-4013-426b-9f96-e0d5b1a1de2e,70293,La Liga,25,18,Neymar da Silva Santos Junior,Barcelona,Goal,Open Play,Right Foot,Normal,0.038283277,1,0,112.0,28.6,1,13.926952286842946,19.780177679524108
aebba05c-1428-441c-bb49-3de16f34a531,70293,La Liga,25,20,Lionel Andrés Messi Cuccittini,Barcelona,Off T,Open Play,Left Foot,Normal,0.1055765,0,0,109.8,51.9,0,15.67322557739791,19.56131277718124
26870731-ae82-4c61-8edf-98257b8efcaf,70293,La Liga,25,25,Gareth Frank Bale,Real Madrid,Off T,Open Play,Left Foot,Normal,0.035441976,1,0,92.6,40.6,0,27.40656855573131,16.603665758048507
6310e277-94a0-4bdc-b46d-7a4479bdf049,70293,La Liga,25,41,Lionel Andrés Messi Cuccittini,Barcelona,Blocked,Free Kick,Left Foot,Normal,0.007616603,0,0,108.3,62.8,0,25.62674384310266,8.311172992577543
ed649611-cbfa-494a-bffd-165067d75083,70293,La Liga,25,43,Sami Khedira,Real Madrid,Saved,Open Play,Right Foot,Half Volley,0.33312252,0,1,114.4,38.0,0,5.946427498927397,66.62875857626797
56e212c2-b629-4d9d-9804-fd05376302ac,70293,La Liga,25,51,Andrés Iniesta Luján,Barcelona,Blocked,Open Play,Left Foot,Volley,0.0491964,0,1,97.6,37.1,0,22.586943130932973,19.93207519089294
d2059d74-9e14-4988-84db-189d229ab8c4,70293,La Liga,25,53,Neymar da Silva Santos Junior,Barcelona,Saved,Open Play,Left Foot,Half Volley,0.14278932,0,1,110.8,29.4,0,14.035668847618203,22.128126564659794
c4024b5e-9799-48d2-9336-f8a8f02d5671,70293,La Liga,25,57,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,Saved,Open Play,Left Foot,Normal,0.111744836,1,0,105.1,29.3,0,18.343936327844144,20.40111838539876
b67003b9-ecb8-41b0-9efd-70ddcb2c0532,70293,La Liga,25,57,Ángel Fabián Di María Hernández,Real Madrid,Saved,Open Play,Left Foot,Half Volley,0.03204178,0,1,95.5,39.9,0,24.500204080782673,18.544908126894256
a5140d06-179e-46b7-9c57-35fe4ed568d8,70293,La Liga,25,68,Karim Benzema,Real Madrid,Off T,Open Play,Head,Normal,0.11680096,1,0,115.7,45.6,0,7.0604532432415406,45.461715404138594
be185bfe-c455-4b60-b586-78f8700734c4,70293,La Liga,25,71,Karim Benzema,Real Madrid,Post,Open Play,Right Foot,Normal,0.033760548,0,0,93.8,37.7,0,26.300760445279906,17.233005009593747
b987d28b-0bb5-4ec4-98c3-af0c69353a64,70293,La Liga,25,71,Sami Khedira,Real Madrid,Saved,Open Play,Head,Normal,0.17318399,0,0,106.0,44.8,0,14.799999999999999,28.881807666038167
49b50f5f-0ac7-4ce9-a1d4-76aeb4d620f9,70293,La Liga,25,72,Andrés Iniesta Luján,Barcelona,Blocked,Open Play,Left Foot,Normal,0.051491156,0,0,101.4,28.6,0,21.815590755237405,17.928185477507697
2bfaf175-31ef-4b1e-880b-e88aef36be5f,70293,La Liga,25,75,Andrés Iniesta Luján,Barcelona,Blocked,Open Play,Right Foot,Normal,0.029638045,1,0,97.5,29.7,0,24.745504642257753,16.795979640562415
c6beab53-c645-46a6-886a-ab7fc14a10dd,70293,La Liga,25,77,Alexis Alejandro Sánchez Sánchez,Barcelona,Goal,Open Play,Right Foot,Lob,0.06357655,0,0,98.8,48.1,1,22.6947130407062,18.770108871840723
